2008;2007;2007 ref;comment
1-1;;;
1-2;1-1;;
1-3;1-2;;
1-4;1-3;;
1-5;;;
1-6;1-4;;
1-7;;;
2-1;1-5;;
2-2;1-6;;
2-3;;;
2-4;2-1;;
2-5;;;
3-1;2-2;;
3-2;2-3;;
3-3;;;
3-4;;;
3-5;2-4;;
4-1;2-5;;
4-2;3-1;;
;3-2;;
4-3;3-3;;
4-4;;;
4-5;;;
5-1;3-4;;
;4-1;;
5-2;4-2;;
5-3;4-3;;
5-4;;;
6-1;4-4;;
6-2;;;
;4-5;;
6-3;5-1;;
6-4;;;
6-5;5-2;;
7-1;5-3;;
7-2;;;
7-3;5-4;;
7-4;;;
7-5;6-1;;
8-1;6-2;;
8-4;6-3;;
8-5;6-4;;
;6-5;;
8-6;7-1;;
;7-2;;
9-1;7-3;;
9-2;7-4;;
9-3;7-5;;
;7-6;;
9-4;8-1;;
9-5;;;
10-1;8-2;;
10-2;;;
10-3;;;
10-4;;;
10-6;;;
11-1;8-3;;
11-2;8-4;;
11-3;9-1;;
;9-2;;
;9-3;;Giving compassion to oneself (2007 9-3 to 10-4) is covered in 2008 [[Compassion Part Two - Compassion for Ourselves]], see [[Synopsis 4]]
;9-4;;
;9-5;;
;10-1;;
;10-2;;
;10-3;;
;10-4;;
11-4;10-5;;
12-1;11-1;;
12-2;11-2;;
12-3;11-3;;
12-4;11-4;;
;12-1;;
13-1;;;
13-2;12-2;;
13-3;12-3;;
13-4;12-4;;
;12-5;;
;12-6;;
13-5;12-7;;
13-7;;;
13-8;12-8;;
;13-1;;
14-1;13-2;;
;13-3;;
;;;Q&A for 2007 omitted
