2008;2007;2007 ref;comment
1-1;;;2007 9-3 to 10-4 is part of [[The Practice of Compassion]], see also [[Synopsis 4]]
1-2;9-3;;
1-3;;;
1-4;;;
1-5;;9-3;
2-1;;;
2-2;;;
2-6;;;
2-7;;;
2-8;;;
2-9;;;
2-10;;;
3-1;;9-3;
3-2;;;
3-3;;;
3-4;9-4;;
3-5;9-5;;
;10-1;;
4-1;10-2;;
4-2;;;
4-3;;;
4-4;10-3;;
4-5;10-4;;
4-6;;;
5-1;;;
